depot;vehicle_id;vehicle_short_name;opd_date
SL;1000958;33636;15/01/2017
D2;1000959;33638;15/01/2017
D2;1000960;33640;15/01/2017
D2;1000961;33642;15/01/2017
D2;1000962;33644;15/01/2017
D2;1000963;33646;15/01/2017
D1;1000964;33648;15/01/2017
D2;1000988;28052;15/01/2017
PO;1001006;33024;15/01/2017
PO;1001007;33026;15/01/2017
PO;1001017;33046;15/01/2017
SL;1001027;33064;15/01/2017
PO;1001028;33066;15/01/2017
PO;1001042;33094;15/01/2017
PO;1001044;33096;15/01/2017
RD;1001056;38004;15/01/2017
RD;1001058;38006;15/01/2017
RD;1001060;38008;15/01/2017
CF;1001063;38010;15/01/2017
CF;1001066;38012;15/01/2017
CF;1001070;38016;15/01/2017
CF;1001074;38020;15/01/2017
SL;1001076;38022;15/01/2017
D1;1001078;38024;15/01/2017
D1;1001080;38026;15/01/2017
D1;1001084;38030;15/01/2017
D1;1001087;38032;15/01/2017
SL;1001091;33144;15/01/2017
SL;1001095;38038;15/01/2017
HN;1000207;40026;15/01/2017
SL;1000210;40028;15/01/2017
PO;1000214;33510;15/01/2017
PO;1000217;33512;15/01/2017
HN;1000221;33516;15/01/2017
RD;1000225;33520;15/01/2017
SL;1000232;40046;15/01/2017
SL;1000235;40048;15/01/2017
RD;1000239;33530;15/01/2017
SL;1000253;33544;15/01/2017
HN;1000257;33548;15/01/2017
PO;1000268;33558;15/01/2017
PO;1000271;33560;15/01/2017
D2;1000275;36008;15/01/2017
D2;1000278;36010;15/01/2017
PO;1000289;33572;15/01/2017
PO;1000292;33574;15/01/2017
D2;1000296;36022;15/01/2017
PO;1000412;33268;15/01/2017
HN;1000416;33276;15/01/2017
HN;1000419;33282;15/01/2017
CD;1000423;33290;15/01/2017
CD;1000427;33298;15/01/2017
HN;1000430;33304;15/01/2017
PO;1000434;33312;15/01/2017
RD;1000437;33318;15/01/2017
HN;1000445;33328;15/01/2017
CF;1000448;33334;15/01/2017
D1;1000455;33344;15/01/2017
D1;1000459;33350;15/01/2017
CD;1000462;33356;15/01/2017
CF;1000466;33362;15/01/2017
PO;1000470;33370;15/01/2017
PO;1000473;33374;15/01/2017
HN;1000477;35006;15/01/2017
HN;1000480;33380;15/01/2017
RD;1000484;33386;15/01/2017
D1;1000487;33390;15/01/2017
SL;1000491;33396;15/01/2017
CD;1000495;33402;15/01/2017
CD;1000498;33408;15/01/2017
PO;1000594;36039;15/01/2017
PO;1000598;36043;15/01/2017
PO;1000601;36047;15/01/2017
PO;1000605;36051;15/01/2017
PO;1000612;36059;15/01/2017
PO;1000616;36067;15/01/2017
PO;1000661;33043;15/01/2017
SL;1000671;33063;15/01/2017
PO;1000682;33085;15/01/2017
RD;1000696;38003;15/01/2017
D1;1000786;38093;15/01/2017
D1;1000790;38097;15/01/2017
PO;1000804;33229;15/01/2017
D2;1000822;33265;15/01/2017
D2;1000826;33273;15/01/2017
HN;1000829;33279;15/01/2017
CF;1000833;33287;15/01/2017
CD;1000837;33295;15/01/2017
SL;1000840;33301;15/01/2017
PO;1000844;33309;15/01/2017
CF;1000847;33315;15/01/2017
HN;1000851;33323;15/01/2017
CF;1000858;33335;15/01/2017
HN;1000862;33341;15/01/2017
D1;1000865;33347;15/01/2017
CD;1000869;33355;15/01/2017
CD;1000873;33363;15/01/2017
PO;1000876;33369;15/01/2017
PO;1000880;33373;15/01/2017
HN;1000883;35007;15/01/2017
PO;1000887;33381;15/01/2017
D1;1000890;33387;15/01/2017
SL;1000894;33395;15/01/2017
CD;1000898;33403;15/01/2017
D2;1000987;28050;15/01/2017
PO;1001005;33022;15/01/2017
PO;1001015;33042;15/01/2017
PO;1001019;33050;15/01/2017
PO;1001036;33082;15/01/2017
RD;1001054;38002;15/01/2017
CF;1001068;38014;15/01/2017
CF;1001072;38018;15/01/2017
D1;1001082;38028;15/01/2017
D1;1001090;38034;15/01/2017
D1;1001093;38036;15/01/2017
SL;1001097;38040;15/01/2017
RD;1001185;33529;15/01/2017
D1;1001189;33537;15/01/2017
D1;1001193;33545;15/01/2017
HN;1001196;33551;15/01/2017
PO;1001200;33559;15/01/2017
PO;1001203;33565;15/01/2017
PO;1001207;33573;15/01/2017
PO;1001211;33581;15/01/2017
