point_id;point_code;short_name;long_name;stop_id;point_role;gps_longitude;gps_latitude;valid_from;valid_until
1329957;EPLNBY04;04139;Boghall Road Woodbrook Lawn;2880;ST;-6.111822;53.188237;01/01/1970;01/01/2036
1339121;NCSTWW01;04656;Newtownmountkennedy Newcastle Hospital;5960;ST;-6.100447;53.079487;01/01/1970;01/01/2036
1339093;WEXFRD02;04650;Wexford Road Mount Kennedy Demesne;11011;ST;-6.105221;53.110255;01/01/1970;01/01/2036
1352905;BLYWTM05;04533;Kilmacanogue Rock Valley;700;ST;-6.13653;53.169538;01/01/1970;01/01/2036
1352918;BLYWTM06;06000;Kilmacanogue Rock Valley;700;ST;-6.136472;53.170437;01/01/1970;01/01/2036
320001;320001;01918;Meath Street Junction Hanbury Lane;3200;S;-6.279147;53.34221;29/05/2011;01/01/2036
1013787;BMUNLB02;00092;Ballymun Road Ballymun Library;590;ST;-6.26466;53.389833;29/05/2011;01/01/2036
1013554;CLGRGL01;06319;Clongriffin Near Rail Station;1742;ST;-6.153786;53.402655;29/05/2011;01/01/2036
1051449;BMUNSA02;06182;Ballymun Road Santry Cross;10511;ST;-6.265352;53.40225;29/05/2011;01/01/2036
1051406;BMUNTR02;00028;Ballymun Road Glasnevin Tennis Club;640;ST;-6.265989;53.381575;29/05/2011;01/01/2036
1165344;NCSTBN06;03399;Newcastle Newcastle Manor;10250;ST;-6.491994;53.296055;29/05/2011;01/01/2036
1393045;RATHDR02;04288;Rathdown Road National School;6805;ST;-6.074915;53.149196;01/01/1970;01/01/2036
320002;320002;04853;Francis Street Junction Dean Swift Square;3200;S;-6.275357;53.342213;29/05/2011;01/01/2036
279002;279002;04859;Eccles Street Mater Hospital;2790;S;-6.266602;53.358225;29/05/2011;01/01/2036
674002;674002;00061;Quarry Road Junction Leix Road;6740;S;-6.290335;53.362231;29/05/2011;01/01/2036
674001;674001;00076;Quarry Road Junction Leix Road;6740;S;-6.29018;53.362161;29/05/2011;01/01/2036
260003;260003;01422;Drimnagh Road Our Lady's Hospital for Sick Children;2600;S;-6.319364;53.32492;29/05/2011;01/01/2036
279001;279001;04852;Eccles Street Mater Private Hospital;2790;S;-6.265577;53.358103;29/05/2011;01/01/2036
1258080;DLRECR03;04983;Marine Road Town Hall;2660;ST;-6.134301;53.294078;29/05/2011;01/01/2036
175002;175002;01389;Clogher Road St. Bernadette's Church;1750;S;-6.295439;53.326085;29/05/2011;01/01/2036
1051495;MERNGT02;00424;Merrion Road Merrion Gates;5360;ST;-6.203712;53.31539;29/05/2011;01/01/2036
1051497;BTONST01;00819;Blessington Street Blessington Court;1080;ST;-6.265978;53.356298;29/05/2011;01/01/2036
1193025;BSWNSC03;07026;Blanchardstown Shopping Centre;1030;ST;-6.392111;53.393885;29/05/2011;01/01/2036
1136065;TYRREL01;07073;Tyrrelstown Carlton Hotel;4505;ST;-6.378352;53.419102;24/07/2011;01/01/2036
1136117;TYRREL02;07072;Tyrrelstown Carlton Hotel;4505;ST;-6.378161;53.419284;24/07/2011;01/01/2036
692501;692501;04505;Ratoath Road St. Vincent Deaf;6925;S;-6.299079;53.364185;24/07/2011;01/01/2036
1003824;KELYCR01;01350;Harrington Street St. Kevin's Church;3940;ST;-6.267474;53.332559;07/08/2011;01/01/2036
1136085;DUBERX01;01557;St. Margaret's Road M50 Flyover;2640;ST;-6.300691;53.407711;07/08/2011;01/01/2036
1193071;SNRDCC01;02338;Snugborough Road Garnish Square;1441;ST;-6.377972;53.393082;21/08/2011;01/01/2036
1165339;KCRBRY01;03416;Nangor Road Kilcarberry Park;4080;ST;-6.441425;53.318149;07/08/2011;01/01/2036
1051483;PSQE-PM;07457;Parnell Square East Junction Great Denmark Street [Virtual Stop Test];6475;ST;-6.263117;53.354285;21/08/2011;01/01/2036
353001;353001;00648;Brookwood Rise Junction Brookwood Avenue;3530;S;-6.195783;53.377552;11/09/2011;01/01/2036
612004;612004;01236;Barryscourt Road Opposite Colaiste Dhulaigh;6120;S;-6.210998;53.39628;11/09/2011;01/01/2036
353002;353002;04787;Brookwood Avenue Junction Howth Road;3530;S;-6.195083;53.375986;11/09/2011;01/01/2036
1136060;DBTENS01;03741;Donabate National School;2500;ST;-6.136264;53.492494;02/10/2011;01/01/2036
1001446;NEPHRD02;04498;Nephin Road St. Declan's School;5910;ST;-6.304162;53.366829;13/11/2011;01/01/2036
1258016;HEUSST05;04320;Heuston Station Front of Station;10180;ST;-6.291976;53.346612;02/10/2011;01/01/2036
1257996;STJDGC01;04578;Wellington Lane St. Jude's GAA Club;7640;ST;-6.326068;53.297547;13/11/2011;01/01/2036
1136135;DUBERX02;01550;St. Margaret's Road M50 Flyover;2640;ST;-6.300691;53.407518;13/11/2011;01/01/2036
390001;390001;04780;Jamestown Road Junction Clancy Avenue;3900;S;-6.295683;53.393163;27/11/2011;01/01/2036
1051503;SBCLRP01;06086;Link Road Deansgrange Road;6072;ST;-6.165994;53.286362;13/11/2011;01/01/2036
102002;102002;04464;Blakestown Way Sheepmoor Grove;1020;S;-6.399063;53.394019;27/11/2011;01/01/2036
390002;390002;04789;Jamestown Road Junction Clancy Avenue;3900;S;-6.29577;53.392753;27/11/2011;01/01/2036
1051478;WHITEW01;07122;Whitestown Way Football Stadium;70;ST;-6.374836;53.282622;13/11/2011;01/01/2036
1086388;SMNTJC03;00381;Park Avenue St. John's Church;7330;ST;-6.212297;53.324195;27/11/2011;01/01/2036
299002;299002;01568;Wellmount Road Junction Farnham Drive;2990;S;-6.299856;53.387;01/01/1970;01/01/2036
648002;648002;00285;Parnell Street Junction Parnell Place (Stop PU);6480;S;-6.260448;53.353132;01/01/1970;01/01/2036
393001;393001;01057;Lower Churchtown Rd Junction Orwell Road;3930;S;-6.252931;53.299603;27/11/2011;01/01/2036
308502;308502;05002;Northern Cross Business Park N2 Finglas;3085;S;-6.315092;53.398025;01/01/1970;01/01/2036
7002;07002;07002;Airside Retail Park Junction Dublin Road;107002;S;-6.227228;53.444928;30/11/2011;01/01/2036
2926;02926;02926;Edmondstown Road Good Council Centre;102926;S;-6.297415;53.281704;30/11/2011;01/01/2036
1642;01642;01642;Swords Road Whitehall Church;101642;S;-6.2436;53.384;30/11/2011;01/01/2036
1136;01136;01136;Anne Devlin Park Church Of The Holy Spirit;101136;S;-6.299184;53.289495;30/11/2011;01/01/2036
7035;07035;07035;Rossmore Road Junction Lough Conn Drive;107035;S;-6.353998;53.347774;30/11/2011;01/01/2036
5107;05107;05107;Kerrymount Avenue Junction Claremont Road;105107;S;-6.172096;53.260267;30/11/2011;01/01/2036
4351;04351;04351;Newtown Park Avenue Opposite Marian Park Estate;104351;S;-6.175296;53.288576;30/11/2011;01/01/2036
2951;02951;02951;Taylor's Lane Opposite Pearse Brothers Park;102951;S;-6.287132;53.281558;30/11/2011;01/01/2036
7046;07046;07046;Ashtown Village Junction River Road;107046;S;-6.3325;53.376492;30/11/2011;01/01/2036
103002;103002;04815;Blanchardstown Centre Blanchardstown;1030;S;-6.39163;53.394154;27/11/2011;01/01/2036
1024002;1024002;00868;Mather Road North Junction North Avenue;10240;S;-6.213395;53.300022;27/11/2011;01/01/2036
7033;07033;07033;Rossmore Road Junction Drumfinn Road;107033;S;-6.357199;53.349182;30/11/2011;01/01/2036
5116;05116;05116;Kilcock Allen Bridge;105116;S;-6.680279;53.405508;30/11/2011;01/01/2036
506;00506;00506;Clonliffe Road Opposite Jones's Road;100506;S;-6.251036;53.362517;30/11/2011;01/01/2036
3721;03721;03721;Donabate Corballis Cross;103721;S;-6.148481;53.48717;30/11/2011;01/01/2036
2973;02973;02973;Bray Station Set Down  Stop;102973;S;-6.101213;53.204771;30/11/2011;01/01/2036
517;00517;00517;North Strand R0Ad Health Centre;100517;S;-6.245713;53.355665;30/11/2011;01/01/2036
3097;03097;03097;Killiney Road Wyvern Estate;103097;S;-6.115057;53.269916;30/11/2011;01/01/2036
7068;07068;07068;Grange Road The Priory;107068;S;-6.281021;53.284652;30/11/2011;01/01/2036
7071;07071;07071;St. Helena's Road Junction St. Helena's Drive;107071;S;-6.297635;53.380701;30/11/2011;01/01/2036
4506;04506;04506;Ratoath Road Junction Nephin Road;104506;S;-6.301577;53.366026;30/11/2011;01/01/2036
5158;05158;05158;Grange Road Jct Grange Abbey Grove;105158;S;-6.15379;53.398194;30/11/2011;01/01/2036
7097;07097;07097;Tyrrelstown French Park;107097;S;-6.384716;53.420252;30/11/2011;01/01/2036
5172;05172;05172;Wynnward Drive A.I.B.;105172;S;-6.2364;53.307921;30/11/2011;01/01/2036
848002;848002;00440;Redesdale Road Junction Thornhill Road;8480;S;-6.215976;53.290206;27/11/2011;01/01/2036
542001;542001;01059;Lower Churchtown Rd Milltown Golf Course;5420;S;-6.251574;53.302914;27/11/2011;01/01/2036
819005;819005;04345;Tallaght The Square Shopping Centre;8190;S;-6.372584;53.285738;27/11/2011;01/01/2036
2960;02960;02960;Blanchardstown Shopping Centre;102960;S;-6.388454;53.394248;30/11/2011;01/01/2036
504;00504;00504;Clonliffe Road Junction Drumcondra Road;100504;S;-6.256226;53.363127;30/11/2011;01/01/2036
