opd_date;measure_id;act_time;act_time_hhmmss;nta_reason_code
13/01/2017;484981385210817275;33981;09:26:21;OD02
13/01/2017;484981385210537081;27912;07:45:12;OD02
13/01/2017;484981385211662418;58623;16:17:03;OD02
13/01/2017;484981385210686136;31520;08:45:20;OD02
13/01/2017;484981385210772710;33469;09:17:49;OD02
13/01/2017;484981385210623066;29456;08:10:56;OD02
13/01/2017;484981385210266256;18620;05:10:20;OD02
13/01/2017;484981385211047954;45448;12:37:28;OD02
13/01/2017;484981385210686472;32005;08:53:25;OD02
13/01/2017;484981385211662375;58586;16:16:26;OD02
13/01/2017;484981385210422269;25851;07:10:51;OD02
13/01/2017;484981385211661836;57654;16:00:54;OD02
13/01/2017;484981385210536472;26858;07:27:38;OD02
13/01/2017;484981385210686276;31796;08:49:56;OD02
13/01/2017;484981385210266762;20369;05:39:29;OD02
13/01/2017;484981385211968471;64732;17:58:52;OD02
13/01/2017;484981385210266736;20344;05:39:04;OD02
13/01/2017;484981385210622639;28772;07:59:32;OD02
13/01/2017;484981385210266201;18505;05:08:25;OD02
13/01/2017;484981385210422456;26013;07:13:33;OD02
13/01/2017;484981385211884318;62514;17:21:54;OD02
13/01/2017;484981385211884487;62734;17:25:34;OD02
13/01/2017;484981385210817302;34015;09:26:55;OD02
13/01/2017;484981385211482591;53739;14:55:39;OD02
13/01/2017;484981385212050518;66911;18:35:11;OD02
13/01/2017;484981385211809206;60414;16:46:54;OD02
13/01/2017;484981385211482825;54158;15:02:38;OD02
13/01/2017;484981385210772108;32863;09:07:43;OD02
13/01/2017;484981385210685815;30628;08:30:28;OD02
13/01/2017;484981385211482752;54052;15:00:52;OD02
13/01/2017;484981385210422178;25779;07:09:39;OD02
13/01/2017;484981385211968384;64603;17:56:43;OD02
13/01/2017;484981385210816848;33598;09:19:58;OD02
13/01/2017;484981385211482996;54494;15:08:14;OD02
13/01/2017;484981385211737021;59701;16:35:01;OD02
13/01/2017;484981385210873482;35592;09:53:12;OD02
13/01/2017;484981385210772272;33100;09:11:40;OD02
13/01/2017;484981385210421652;24344;06:45:44;OD02
13/01/2017;484981385210772193;32970;09:09:30;OD02
13/01/2017;484981385211483052;54526;15:08:46;OD02
13/01/2017;484981385211482618;53783;14:56:23;OD02
13/01/2017;484981385210685909;31054;08:37:34;OD02
13/01/2017;484981385211560609;56183;15:36:23;OD02
13/01/2017;484981385211287729;52733;14:38:53;OD02
13/01/2017;484981385211809469;60984;16:56:24;OD02
13/01/2017;484981385211483134;54627;15:10:27;OD02
13/01/2017;484981385211884614;63115;17:31:55;OD02
