vehicle_id;vehicle_code;short_name;valid_from;valid_until
1000275;VT8;36008;01/01/1970;01/01/2036
1000278;VT10;36010;01/01/1970;01/01/2036
1000289;AX572;33572;01/01/1970;01/01/2036
1000292;AX574;33574;01/01/1970;01/01/2036
1000296;VT22;36022;01/01/1970;01/01/2036
1000390;RA260;24260;01/01/1970;01/01/2036
1000394;AV232;33232;01/01/1970;01/01/2036
1000398;AV240;33240;01/01/1970;01/01/2036
1000401;AV246;33246;01/01/1970;01/01/2036
1000405;AV254;33254;01/01/1970;01/01/2036
1000409;AV262;33262;01/01/1970;01/01/2036
1000412;AV268;33268;01/01/1970;01/01/2036
1000416;AV276;33276;01/01/1970;01/01/2036
1000419;AV282;33282;01/01/1970;01/01/2036
1000423;AV290;33290;01/01/1970;01/01/2036
1000427;AV298;33298;01/01/1970;01/01/2036
1000430;AV304;33304;01/01/1970;01/01/2036
1000434;AV312;33312;01/01/1970;01/01/2036
1000437;AV318;33318;01/01/1970;01/01/2036
1000445;AV328;33328;01/01/1970;01/01/2036
1000448;AV334;33334;01/01/1970;01/01/2036
1000455;AV344;33344;01/01/1970;01/01/2036
1000459;AV350;33350;01/01/1970;01/01/2036
1000462;AV356;33356;01/01/1970;01/01/2036
1000466;AV362;33362;01/01/1970;01/01/2036
1000470;AV370;33370;01/01/1970;01/01/2036
1000473;AV374;33374;01/01/1970;01/01/2036
1000477;DT6;35006;01/01/1970;01/01/2036
1000480;AV380;33380;01/01/1970;01/01/2036
1000484;AV386;33386;01/01/1970;01/01/2036
1000487;AV390;33390;01/01/1970;01/01/2036
1000491;AV396;33396;01/01/1970;01/01/2036
1000495;AV402;33402;01/01/1970;01/01/2036
1000498;AV408;33408;01/01/1970;01/01/2036
1000594;VT39;36039;01/01/1970;01/01/2036
1000598;VT43;36043;01/01/1970;01/01/2036
1000601;VT47;36047;01/01/1970;01/01/2036
1000605;VT51;36051;01/01/1970;01/01/2036
1000612;VT59;36059;01/01/1970;01/01/2036
1000616;VT67;36067;01/01/1970;01/01/2036
1000661;AV43;33043;01/01/1970;01/01/2036
1000671;AV63;33063;01/01/1970;01/01/2036
1000682;AV85;33085;01/01/1970;01/01/2036
1000696;EV3;38003;01/01/1970;01/01/2036
1000786;EV93;38093;01/01/1970;01/01/2036
1000790;EV97;38097;01/01/1970;01/01/2036
1000797;AV215;33215;01/01/1970;01/01/2036
1000801;AV223;33223;01/01/1970;01/01/2036
1000804;AV229;33229;01/01/1970;01/01/2036
1000808;AV237;33237;01/01/1970;01/01/2036
1000811;AV243;33243;01/01/1970;01/01/2036
1000815;AV251;33251;01/01/1970;01/01/2036
1000819;AV259;33259;01/01/1970;01/01/2036
1000822;AV265;33265;01/01/1970;01/01/2036
1000826;AV273;33273;01/01/1970;01/01/2036
1000829;AV279;33279;01/01/1970;01/01/2036
1000833;AV287;33287;01/01/1970;01/01/2036
1000837;AV295;33295;01/01/1970;01/01/2036
1000840;AV301;33301;01/01/1970;01/01/2036
1000844;AV309;33309;01/01/1970;01/01/2036
1000847;AV315;33315;01/01/1970;01/01/2036
1000851;AV323;33323;01/01/1970;01/01/2036
1000858;AV335;33335;01/01/1970;01/01/2036
1000862;AV341;33341;01/01/1970;01/01/2036
1000865;AV347;33347;01/01/1970;01/01/2036
1000869;AV355;33355;01/01/1970;01/01/2036
1000873;AV363;33363;01/01/1970;01/01/2036
1000876;AV369;33369;01/01/1970;01/01/2036
1000880;AV373;33373;01/01/1970;01/01/2036
1000883;DT7;35007;01/01/1970;01/01/2036
1000887;AV381;33381;01/01/1970;01/01/2036
1000890;AV387;33387;01/01/1970;01/01/2036
1000894;AV395;33395;01/01/1970;01/01/2036
1000898;AV403;33403;01/01/1970;01/01/2036
1000987;WV50;28050;01/01/1970;01/01/2036
1001005;AV22;33022;01/01/1970;01/01/2036
1001015;AV42;33042;01/01/1970;01/01/2036
1001019;AV50;33050;01/01/1970;01/01/2036
1001036;AV82;33082;01/01/1970;01/01/2036
1001054;EV2;38002;01/01/1970;01/01/2036
1001065;RH156;24156;01/01/1970;01/01/2036
1001068;EV14;38014;01/01/1970;01/01/2036
1001072;EV18;38018;01/01/1970;01/01/2036
1001075;AV130;33130;01/01/1970;01/01/2036
1001082;EV28;38028;01/01/1970;01/01/2036
1001090;EV34;38034;01/01/1970;01/01/2036
1001093;EV36;38036;01/01/1970;01/01/2036
1001097;EV40;38040;01/01/1970;01/01/2036
1001185;AX529;33529;01/01/1970;01/01/2036
1001189;AX537;33537;01/01/1970;01/01/2036
1001193;AX545;33545;01/01/1970;01/01/2036
1001196;AX551;33551;01/01/1970;01/01/2036
1001200;AX559;33559;01/01/1970;01/01/2036
1001203;AX565;33565;01/01/1970;01/01/2036
1001207;AX573;33573;01/01/1970;01/01/2036
